# Ideographic Description Sequences (IDS) for CJK Unified Ideographs Extension J
# Supplement to BabelStone IDS.TXT <https://babelstone.co.uk/CJK/IDS.TXT>, whose last release covers
#	Unicode 16.0 and stops at U+323AF; this file covers the block the former does not.
# File Encoding: UTF-8 with BOM and CR/LF
# Unicode Version: 17.0 (September 2025)
# Total entries: 4,298
#
# The format, the component conventions (sections 5 to 9) and the numbered unencoded components ({n}) are
#	those of IDS.TXT; see its header.
#
# Sources:
#	The IDS column of the IRG Working Set 2021 (v7.0) review database <https://hc.jsecs.org/irg/ws2021/app/>,
#	from which Extension J was encoded, mapped to code points through the kIRG_*Source references of Unihan,
#	normalized to the IDS.TXT conventions, and checked character by character against the source glyphs of
#	the Unicode code charts. Source letters are those of IDS.TXT section 8.
#
# Kang Seonghoon is the sole author of this database and waives all rights to it as per IDS.TXT.
# Claude Opus 5.5 was used to semi-automatically prepare this database.
#
# CJK Unified Ideographs Extension J (4,298 characters)
# 4,298 characters added in Unicode version 17.0 (September 2025)
U+323B0	𲎰	^⿻丅𠃍$(U)
U+323B1	𲎱	^⿻一𠃏$(U)
U+323B2	𲎲	^⿱丅冂$(B)
U+323B3	𲎳	^⿱三⿰三三$(B)
U+323B4	𲎴	^⿱况下$(V)
U+323B5	𲎵	^⿰右百$(G)
U+323B6	𲎶	^⿰在乎$(G)
U+323B7	𲎷	^⿰丢光$(G)
U+323B8	𲎸	^⿰在男$(G)
U+323B9	𲎹	^⿰上鄧$(V)
U+323BA	𲎺	^⿱夭丨$(G)
U+323BB	𲎻	^⿲丿丨𭟯$(V)
U+323BC	𲎼	^⿰谷中$(V)
U+323BD	𲎽	^⿰中朋$(G)
U+323BE	𲎾	^⿰串逐$(V)
U+323BF	𲎿	^⿰㐅也$(B)
U+323C0	𲏀	^⿻𠂝丶$(GUB)
U+323C1	𲏁	^⿱乃卞$(V)
U+323C2	𲏂	^⿰⿹丅⿰丨丨⿱厶亅$(V)
U+323C3	𲏃	^⿻千𠈌$(B)
U+323C4	𲏄	^⿰类久$(V)
U+323C5	𲏅	^⿱⿱𠂊囚⿲丿𰀁乚$(V)
U+323C6	𲏆	^⿻㇉丿$(B)
U+323C7	𲏇	^⿺乙⺀$(S)
U+323C8	𲏈	^⿱小乙$(K)
U+323C9	𲏉	^⿱久乙$(K)
U+323CA	𲏊	^⿹⺄⿻𠃊丄$(B)
U+323CB	𲏋	^⿱夫乙$(K)
U+323CC	𲏌	^⿹⺄𢆰$(B)
U+323CD	𲏍	^⿱少乙$(K)
U+323CE	𲏎	^⿱介乙$(K)
U+323CF	𲏏	^⿱仇乙$(K)
U+323D0	𲏐	^⿱勿乙$(K)
U+323D1	𲏑	^⿺乙孔$(B)
U+323D2	𲏒	^⿱⺄𭙉$(B)
